id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,ANOS_ESPACIO,Anomaly_Score,Group
213464911,150000,0.0,0.0,150000,27,1,4,3,0.02770457092952222,Normal
213475613,680000,0.0,0.0,1075000,27,1,3,4,0.03940340027261596,Normal
213505315,700000,0.0,0.0,210000,41,1,3,5,0.02727128462457317,Normal
213507911,1500000,0.0,0.0,1000000,41,1,3,5,0.029087028052361016,Normal
213507913,1000000,0.0,0.0,500000,41,1,3,4,0.028864048394768926,Normal
213507915,1200000,0.0,0.0,700000,41,1,3,5,0.028477332665835044,Normal
213527011,4000000,0.0,0.0,2897000,41,1,3,5,0.02418910612647718,Normal
213578211,1500000,1.0,0.0,600000,41,1,3,4,0.021726434818435256,Normal
213588411,1710000,0.0,0.0,610000,44,1,3,4,0.05198419868439117,Normal
213592211,3900000,0.0,0.0,2400000,44,1,4,4,0.040777454857559965,Normal
213595611,7280000,0.0,0.0,6500000,44,1,4,2,0.010213118476272522,Normal
213607211,800000,0.0,0.0,500000,44,1,4,4,0.04681536670233695,Normal
213612312,3500000,0.0,0.0,3035000,44,1,3,5,0.04529169257521144,Normal
213627011,800000,0.0,0.0,500000,44,1,3,5,0.051522233660981104,Normal
213629411,2322000,0.0,0.0,1122000,44,1,2,2,-0.010919062609814414,Outlier
213637411,1044000,0.0,0.0,244000,44,1,3,2,0.044496241652244826,Normal
213643711,13400000,1.0,640000.0,8400000,44,1,4,5,-0.03052220136655423,Outlier
213674111,1100000,0.0,0.0,460000,47,1,3,5,0.04636594949220684,Normal
213683811,2660000,0.0,0.0,560000,47,1,3,3,0.04017680508829345,Normal
213686711,2400000,0.0,0.0,1580000,47,1,3,5,0.04342617953246478,Normal
213689311,750000,0.0,0.0,410000,47,1,3,5,0.04554466396157563,Normal
213689312,900000,0.0,0.0,510000,47,1,3,5,0.04618719957759632,Normal
213712912,6500000,0.0,0.0,3000000,47,1,3,5,0.031837783540568494,Normal
213737012,2300000,0.0,0.0,1900000,47,1,3,3,0.039650688878749535,Normal
213738812,3500000,0.0,0.0,2210000,50,1,4,2,0.03656089157010474,Normal
213742316,1100000,0.0,0.0,200000,50,1,2,3,-0.004137273412597786,Outlier
213745611,1400000,1.0,0.0,1038000,50,1,4,4,0.03854620879972939,Normal
213745911,1800000,1.0,0.0,1244000,50,1,3,2,0.02887794126832029,Normal
213749011,3100000,1.0,300000.0,1950000,50,1,3,5,0.023118988075218616,Normal
213760211,500000,0.0,0.0,220000,50,1,4,2,0.04222083391053394,Normal
213763211,2200000,1.0,0.0,970000,50,1,2,5,-0.014729963038424845,Outlier
213763212,2200000,1.0,0.0,970000,50,1,2,5,-0.014729963038424845,Outlier
213809211,1150000,0.0,0.0,903000,52,1,3,5,0.04248380827889712,Normal
213822312,1100000,0.0,0.0,785000,52,1,3,5,0.04312727743520624,Normal
213884314,720000,0.0,0.0,500000,52,1,3,5,0.04286969298965767,Normal
213895412,400000,0.0,0.0,250000,52,1,3,3,0.0342603993541558,Normal
213930411,1100000,0.0,0.0,932000,54,1,3,5,0.0391612599772579,Normal
213943111,5200000,0.0,0.0,4570000,54,1,3,5,0.023731526010155195,Normal
213943211,4200000,0.0,0.0,3426500,54,1,3,5,0.030141870833547028,Normal
213944415,1200000,0.0,0.0,902000,54,1,3,5,0.03936483275356661,Normal
213959314,2200000,0.0,0.0,1570000,54,1,4,2,0.028416584174671605,Normal
213985211,900000,0.0,0.0,720000,54,1,3,1,0.0224917728136507,Normal
214039111,1410000,0.0,0.0,610000,63,1,4,2,0.042251926593512124,Normal
214070911,900000,0.0,0.0,500000,63,1,4,3,0.044361954626571026,Normal
214090912,1500000,0.0,0.0,60000,66,1,3,1,0.025493595729654896,Normal
214149211,1800000,0.0,0.0,807000,66,1,3,5,0.042772098449222334,Normal
214149411,800000,0.0,0.0,490000,66,1,4,5,0.0407207321806143,Normal
214156713,600000,0.0,0.0,200000,66,1,3,2,0.036386907450428205,Normal
214171311,400000,0.0,0.0,100000,66,1,3,5,0.04144452240133886,Normal
214206111,1800000,0.0,0.0,1105000,68,0,4,3,0.02726833208913406,Normal
214213111,1200000,0.0,0.0,350000,68,1,3,3,0.04498361569697974,Normal
214225911,2200000,0.0,0.0,1440000,68,0,4,5,0.02609304586762711,Normal
214225912,1500000,0.0,0.0,590000,68,0,4,3,0.027465085626420485,Normal
214230212,900000,0.0,0.0,370000,68,1,3,5,0.04879889979524107,Normal
214240813,6500000,1.0,0.0,2080000,68,1,4,3,0.016133347809295658,Normal
214241311,450000,0.0,0.0,700000,68,1,3,5,0.0468168885782692,Normal
214243011,1000000,0.0,130000.0,353000,68,0,4,5,0.01926063171229379,Normal
214243111,5400000,0.0,0.0,4515000,68,1,3,1,0.011544479304132535,Normal
214266012,2800000,0.0,0.0,2008000,68,1,3,2,0.034700840902975705,Normal
214270721,170000,0.0,0.0,80000,68,1,4,2,0.03604437728738648,Normal
214276212,1900000,0.0,0.0,1120000,68,1,4,5,0.04167224286804805,Normal
214291011,3700000,0.0,0.0,2800000,68,1,3,5,0.03863421200351866,Normal
214294411,300000,0.0,0.0,30000,68,1,4,4,0.03889630866401088,Normal
214295711,700000,0.0,0.0,300000,68,0,4,2,0.025767075471085595,Normal
214303613,300000,0.0,0.0,0,68,0,4,2,0.02295175977498434,Normal
214311412,400000,0.0,0.0,130000,70,1,4,4,0.04216734632978087,Normal
214317711,700000,0.0,0.0,970000,70,1,4,4,0.04224142474259411,Normal
214335711,500000,0.0,0.0,422828,70,1,3,4,0.043553083297834805,Normal
214335812,1100000,0.0,0.0,700000,70,1,3,5,0.04403496622166053,Normal
214340411,700000,0.0,0.0,340000,70,1,4,5,0.042975954144911885,Normal
214340413,600000,0.0,0.0,250000,70,1,4,5,0.0428188325001813,Normal
214340414,850000,0.0,0.0,450000,70,1,3,5,0.04482411191432485,Normal
214351512,300000,0.0,0.0,250000,70,1,3,3,0.041056171573243504,Normal
214358111,800000,0.0,0.0,646525,70,1,3,5,0.044373499739282576,Normal
214361012,900000,0.0,0.0,250000,70,1,3,4,0.04377474669753893,Normal
214369411,13000000,0.0,0.0,9060000,70,1,3,1,-0.025360875065863975,Outlier
214373211,400000,0.0,0.0,130000,70,1,3,5,0.04313705665463317,Normal
214377711,2000000,0.0,0.0,3900000,73,1,2,3,-0.019255999216764703,Outlier
214411612,900000,0.0,0.0,355000,73,1,4,1,0.02384504809196458,Normal
214422011,600000,0.0,0.0,460000,73,1,4,1,0.02355573623076999,Normal
214435111,1200000,0.0,145000.0,400000,73,1,3,5,0.03466103529576234,Normal
214437214,1200000,0.0,0.0,420000,73,1,3,2,0.032088258672585315,Normal
214439711,380000,0.0,0.0,220000,73,1,3,2,0.030207276948496536,Normal
214463811,1300000,0.0,0.0,450000,76,1,3,2,0.0481226103244731,Normal
214468212,4280000,1.0,400000.0,3080000,76,0,2,3,-0.05590274078164717,Outlier
214479211,4000000,0.0,0.0,1650000,76,1,3,2,0.04084640101957549,Normal
214481812,2840000,0.0,0.0,1880000,76,0,4,3,0.029099182523598215,Normal
214496911,400000,1.0,0.0,120000,76,1,4,2,0.03788233269122233,Normal
