id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,UBICA,IDRUT,REG_CONT,CAMCOMER,Anomaly_Score,Group
703924411,1000000,1.0,500000.0,1270000,15,0,3,1,1,4,1,0.025728692124421845,Normal
703925811,6000000,1.0,360000.0,5135000,68,0,3,1,1,3,1,0.039724187921976815,Normal
703925911,22000000,2.0,0.0,20820000,68,0,3,1,1,3,1,0.01006008468733879,Normal
703926211,3000000,0.0,0.0,2209000,68,0,3,3,1,3,1,0.04422185133976158,Normal
703930114,1200000,0.0,0.0,490000,76,0,3,3,0,4,0,0.05858316844867247,Normal
703935911,2600000,0.0,0.0,2075000,23,0,3,3,0,3,0,0.04752055912834803,Normal
703938911,1200000,3.0,0.0,650000,23,0,4,1,1,3,1,0.015016965784861601,Normal
703939712,5000000,0.0,0.0,3990000,23,0,4,1,0,3,0,0.029367434310396914,Normal
703940012,900000,0.0,0.0,560000,23,0,2,1,0,3,0,0.0063496862161242385,Normal
703942911,7000000,1.0,600000.0,4540000,5,1,4,1,1,3,1,0.03616297860668561,Normal
703949411,2056444,0.0,0.0,1870289,5,1,3,1,0,3,0,0.05152297143814408,Normal
